wavelength mua_98 mua_0 mus_98 g
251	44.02	48.32	58.64	0.8088	22.47	7.00	0.9980	0.9981
252	42.29	48.89	58.61	0.8126	36.69	16.92	0.9978	0.9980
254	43.58	49.47	58.35	0.8147	41.34	21.01	0.9977	0.9979
256	44.89	50.26	58.00	0.8164	44.97	24.41	0.9976	0.9978
258	46.38	50.95	57.36	0.8187	48.07	27.57	0.9975	0.9978
260	47.89	51.57	56.99	0.8200	50.90	30.60	0.9974	0.9977
262	49.48	52.19	56.60	0.8202	53.52	33.55	0.9973	0.9976
264	51.00	52.81	56.04	0.8202	56.00	36.45	0.9972	0.9976
266	52.22	53.32	55.26	0.8204	58.41	39.31	0.9971	0.9975
268	53.29	53.83	54.94	0.8205	60.81	42.15	0.9970	0.9974
270	54.13	54.34	54.63	0.8210	63.40	45.01	0.9969	0.9973
272	54.59	54.63	54.35	0.8222	66.14	48.01	0.9967	0.9972
274	54.99	54.32	54.42	0.8235	68.80	51.06	0.9966	0.9971
276	54.97	53.92	54.63	0.8251	71.26	53.47	0.9965	0.9970
278	54.63	53.56	54.82	0.8281	73.30	55.28	0.9964	0.9970
280	54.14	53.19	54.99	0.8324	75.64	57.11	0.9963	0.9969
282	53.34	52.77	55.18	0.8374	77.96	59.03	0.9962	0.9968
284	52.30	52.03	55.38	0.8428	80.44	61.16	0.9961	0.9967
286	50.45	50.67	55.56	0.8497	82.95	63.32	0.9960	0.9967
288	48.22	48.72	56.00	0.8578	85.69	65.87	0.9960	0.9966
290	46.13	45.94	56.72	0.8648	87.56	68.80	0.9959	0.9965
292	43.58	43.08	57.56	0.8713	90.11	71.14	0.9958	0.9965
294	40.50	40.29	58.46	0.8798	93.61	73.39	0.9957	0.9964
296	37.82	37.45	59.36	0.8889	96.38	76.05	0.9957	0.9964
298	35.12	34.81	60.11	0.8976	98.85	78.16	0.9956	0.9963
300	32.52	33.15	60.64	0.9035	100.27	79.57	0.9956	0.9963
302	30.99	32.12	61.01	0.9084	100.50	79.87	0.9955	0.9962
304	30.01	31.25	61.36	0.9142	100.33	80.00	0.9955	0.9962
306	29.69	30.47	61.59	0.9159	99.79	79.89	0.9955	0.9962
308	29.75	30.28	61.28	0.9165	99.31	79.22	0.9954	0.9961
310	30.03	30.95	60.80	0.9159	98.78	78.45	0.9954	0.9961
312	30.73	32.10	60.24	0.9146	97.73	77.50	0.9953	0.9961
314	31.49	33.25	59.59	0.9129	96.70	76.71	0.9953	0.9960
316	32.45	34.43	58.90	0.9088	95.68	76.03	0.9952	0.9960
318	33.76	35.61	58.15	0.9029	94.81	75.40	0.9952	0.9959
320	35.15	36.86	57.50	0.8975	93.96	74.72	0.9951	0.9959
322	36.61	38.22	56.85	0.8938	93.08	74.02	0.9950	0.9958
324	38.03	39.50	56.31	0.8901	92.22	73.43	0.9950	0.9957
326	39.49	40.67	55.96	0.8861	91.40	72.96	0.9949	0.9957
328	40.94	41.70	55.59	0.8830	90.62	72.64	0.9948	0.9956
330	42.29	42.61	55.22	0.8797	89.98	72.41	0.9947	0.9955
332	43.46	43.51	54.73	0.8773	89.49	72.12	0.9947	0.9955
334	44.48	44.45	54.40	0.8758	89.26	71.74	0.9946	0.9954
336	45.42	45.94	54.19	0.8743	89.25	71.05	0.9945	0.9954
338	46.02	47.50	53.98	0.8735	89.20	70.45	0.9944	0.9953
340	46.46	48.90	53.80	0.8727	89.17	70.12	0.9943	0.9952
342	46.86	49.89	53.71	0.8720	89.22	70.02	0.9942	0.9951
344	47.23	50.81	53.63	0.8719	89.37	69.86	0.9942	0.9951
346	47.14	51.73	53.59	0.8724	89.94	69.68	0.9941	0.9950
